,franquicia,titulo_original,recaudacion
2610,Mr. Bean Collection,Bean,251212670.0
2616,Starship Troopers Collection,Starship Troopers,121214377.0
2628,Mortal Kombat Collection,Mortal Kombat: Annihilation,51376861.0
2634,Alien Collection,Alien: Resurrection,162000000.0
2640,Les Boys,Les Boys,0.0
2646,Home Alone Collection,Home Alone 3,79082515.0
2654,Scream Collection,Scream 2,172363301.0
2662,James Bond Collection,Tomorrow Never Dies,333011068.0
2692,The Postman Collection,The Postman,17626234.0
2700,3 Ninjas Collection,3 Ninjas: High Noon at Mega Mountain,0.0
2727,The Prophecy Collection,The Prophecy II,0.0
2733,The Blues Brothers Collection,Blues Brothers 2000,14051384.0
2741,The Fugitive / U.S. Marshals Collection,U.S. Marshals,102367405.0
2747,Wild Things Collection,Wild Things,67200000.0
2748,Barney Collection,Barney's Great Adventure,0.0
2750,The Odd Couple Collection,The Odd Couple II,0.0
2754,Species Collection,Species II,19165560.0
2757,Major League Collection,Major League: Back to the Minors,3572443.0
2761,Henry Fool Collection,Henry Fool,1334786.0
2765,Mulan Collection,Mulan,304320254.0
2777,The X-Files Collection,The X Files,189198313.0
2789,Dr. Dolittle Collection,Doctor Dolittle,294456605.0
2798,Lethal Weapon Collection,Lethal Weapon 4,285444603.0
2843,French Connection Collection,The French Connection,41158757.0
2861,Rocky Collection,Rocky,117235147.0
2862,A Nightmare on Elm Street Collection,A Nightmare on Elm Street Part 2: Freddy's Revenge,29999213.0
2864,A Nightmare on Elm Street Collection,A Nightmare on Elm Street 3: Dream Warriors,44793222.0
2868,A Nightmare on Elm Street Collection,A Nightmare on Elm Street 4: The Dream Master,72500000.0
2870,A Nightmare on Elm Street Collection,A Nightmare on Elm Street 5: The Dream Child,22168359.0
2872,A Nightmare on Elm Street Collection,Freddy's Dead: The Final Nightmare,34872033.0
2875,Friday the 13th Collection,Friday the 13th,59754601.0
2878,Friday the 13th Collection,Friday the 13th Part 2,21722776.0
2882,Friday the 13th Collection,Friday the 13th Part III,36690067.0
2886,Friday the 13th Collection,Friday the 13th: The Final Chapter,32980880.0
2894,Friday the 13th Collection,Friday the 13th: A New Beginning,21930418.0
2898,Friday the 13th Collection,Friday the 13th Part VI: Jason Lives,19472057.0
2901,Friday the 13th Collection,Friday the 13th Part VII: The New Blood,19170001.0
2903,Friday the 13th Collection,Friday the 13th Part VIII: Jason Takes Manhattan,14000000.0
2909,Halloween Collection,Halloween,70000000.0
2913,Halloween Collection,Halloween II,25533818.0
2915,Halloween Collection,Halloween III: Season of the Witch,14400000.0
2918,Halloween Collection,Halloween 4: The Return of Michael Myers,17768757.0
2920,Halloween Collection,Halloween 5: The Revenge of Michael Myers,11642254.0
2922,Prom Night Collection,Prom Night,14796236.0
2931,Prom Night Collection,Hello Mary Lou: Prom Night II,2683519.0
2936,Prom Night Collection,Prom Night III: The Last Kiss,0.0
2945,Prom Night Collection,Prom Night IV: Deliver Us from Evil,0.0
2946,Child's Play Collection,Child's Play,44196684.0
2948,Child's Play Collection,Child's Play 2,35763605.0
2952,Child's Play Collection,Child's Play 3,20560255.0
2964,Poltergeist Collection,Poltergeist,122200000.0
2966,Poltergeist Collection,Poltergeist II: The Other Side,40996665.0
2968,Poltergeist Collection,Poltergeist III,14144000.0
2970,The Exorcist Collection,The Exorcist,441306145.0
3006,The Exorcist Collection,Exorcist II: The Heretic,30749142.0
3015,The Exorcist Collection,The Exorcist III,39024251.0
3021,Lethal Weapon Collection,Lethal Weapon,120207127.0
3031,Lethal Weapon Collection,Lethal Weapon 2,227853986.0
3051,Lethal Weapon Collection,Lethal Weapon 3,321731527.0
3061,The Gremlins Collection,Gremlins,153083102.0
3073,The Gremlins Collection,Gremlins 2: The New Batch,41482207.0
3079,Zorro Collection,The Mask of Zorro,250288523.0
3083,Back to the Future Collection,Back to the Future Part II,332000000.0
3095,Back to the Future Collection,Back to the Future Part III,244527583.0
3107,The Poseidon Adventure Collection,The Poseidon Adventure,84563118.0
3111,Flubber Collection,The Absent-Minded Professor,0.0
3114,The Apple Dumpling Gang Collection,The Apple Dumpling Gang Rides Again,0.0
3117,Bambi Collection,Bambi,267447150.0
