,titulo_original,pais
2878,Friday the 13th Part 2,United States of America
2882,Friday the 13th Part III,United States of America
2886,Friday the 13th: The Final Chapter,United States of America
2894,Friday the 13th: A New Beginning,United States of America
2898,Friday the 13th Part VI: Jason Lives,United States of America
2901,Friday the 13th Part VII: The New Blood,United States of America
2903,Friday the 13th Part VIII: Jason Takes Manhattan,United States of America
2909,Halloween,United States of America
2913,Halloween II,United States of America
2915,Halloween III: Season of the Witch,United States of America
2918,Halloween 4: The Return of Michael Myers,United States of America
2920,Halloween 5: The Revenge of Michael Myers,United States of America
2922,Prom Night,Canada
2931,Hello Mary Lou: Prom Night II,Canada
2936,Prom Night III: The Last Kiss,Canada
2945,Prom Night IV: Deliver Us from Evil,Canada
2946,Child's Play,United States of America
2948,Child's Play 2,United States of America
2952,Child's Play 3,United Kingdom
2954,Child's Play 3,United States of America
2964,Poltergeist,United States of America
2966,Poltergeist II: The Other Side,United States of America
2968,Poltergeist III,United States of America
2970,The Exorcist,United States of America
3006,Exorcist II: The Heretic,United States of America
3015,The Exorcist III,United States of America
3021,Lethal Weapon,United States of America
3031,Lethal Weapon 2,United States of America
3051,Lethal Weapon 3,United States of America
3061,Gremlins,United States of America
3073,Gremlins 2: The New Batch,United States of America
3079,The Mask of Zorro,United States of America
3083,Back to the Future Part II,United States of America
3095,Back to the Future Part III,United States of America
3107,The Poseidon Adventure,United States of America
3111,The Absent-Minded Professor,United States of America
3114,The Apple Dumpling Gang Rides Again,United States of America
3117,Bambi,United States of America
3120,The Godfather: Part III,Italy
3124,The Godfather: Part III,United States of America
3144,The Computer Wore Tennis Shoes,United States of America
3146,D2: The Mighty Ducks,United States of America
3154,Herbie Goes Bananas,United States of America
3162,Herbie Goes To Monte Carlo,United States of America
3172,Honey I Blew Up the Kid,United States of America
3180,"Honey, I Shrunk the Kids",United States of America
3184,The Jungle Book,United States of America
3187,Lady and the Tramp,United States of America
3189,The Little Mermaid,United States of America
3197,The Mighty Ducks,United States of America
3199,The Muppet Christmas Carol,United States of America
3207,One Hundred and One Dalmatians,United States of America
3211,Peter Pan,United States of America
3221,The Rescuers Down Under,United States of America
3296,The Rescuers,United States of America
3300,Return from Witch Mountain,
3304,The Return of Jafar,United States of America
3308,The Shaggy D.A.,United States of America
3312,Son of Flubber,United States of America
3315,Splash,United States of America
3321,Tron,United States of America
3327,Halloween: H20,United States of America
3329,Indiana Jones and the Temple of Doom,United States of America
3337,The Lord of the Rings,United States of America
3345,Children of the Corn,United States of America
3417,All Dogs Go to Heaven,Ireland
3418,All Dogs Go to Heaven,United Kingdom
3419,All Dogs Go to Heaven,United States of America
3462,The Addams Family,United States of America
3471,Charlotte's Web,United States of America
3480,The Secret of NIMH,United States of America
3496,An American Tail,United States of America
3504,An American Tail: Fievel Goes West,United States of America
3513,House,United States of America
3515,House II: The Second Story,United States of America
3527,The Gods Must Be Crazy,South Africa
3529,The Gods Must Be Crazy,Botswana
3543,The Gods Must Be Crazy II,Botswana
3545,The Gods Must Be Crazy II,United States of America
3547,The Gods Must Be Crazy II,South Africa
3567,Air Bud: Golden Receiver,Canada
3568,Air Bud: Golden Receiver,United States of America
3571,"Henry II, Portrait of a Serial Killer",United States of America
3574,Henry: Portrait of a Serial Killer,United States of America
3578,Rosemary's Baby,United States of America
3584,The Neverending Story,Germany
3585,The Neverending Story,United States of America
