,titulo_original,recomendaciones
91,DragonHeart,"['Dragonheart: Battle for the Heartfire', 'DragonHeart: A New Beginning', ""Dragonheart 3: The Sorcerer's Curse"", 'Toy Story', 'Grumpier Old Men']"
92,Bloodsport II,"['Bloodsport', 'Bloodsport: The Dark Kumite', 'Bloodsport III', 'Mulan II', 'Mulan II']"
93,পথের পাঁচালী,"['Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II', 'Father of the Bride Part II', 'GoldenEye']"
94,অপুর সংসার,"['Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II', 'Father of the Bride Part II', 'GoldenEye']"
95,"Alphaville, une étrange aventure de Lemmy Caution","['Alphaville, une étrange aventure de Lemmy Caution', 'Alphaville, une étrange aventure de Lemmy Caution', 'Alphaville, une étrange aventure de Lemmy Caution', 'Alphaville, une étrange aventure de Lemmy Caution', 'Alphaville, une étrange aventure de Lemmy Caution']"
96,The Substitute,"[""The Substitute 2: School's Out"", ""The Substitute 2: School's Out"", ""The Substitute 2: School's Out"", 'The Substitute 4: Failure Is Not an Option', 'Class of 1999 II - The Substitute']"
97,Les visiteurs,"['Les visiteurs', 'Les visiteurs', 'Les Visiteurs: La Révolution', 'Les Visiteurs 2 : Les Couloirs du temps', 'Les Visiteurs 2 : Les Couloirs du temps']"
98,GHOST IN THE SHELL,"['GHOST IN THE SHELL', 'GHOST IN THE SHELL', 'Autumn in the Vineyard', ""The Mummy's Ghost"", 'The Frozen Ghost']"
99,A Close Shave,"['Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II', 'Father of the Bride Part II', 'GoldenEye']"
100,The Arrival,"['The Arrival', 'The Arrival', 'The Arrival', 'The Arrival', 'The Arrival']"
101,Touki-Bouki,"['Touki-Bouki', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
102,Trainspotting,"['Trainspotting', 'Trainspotting', 'Trainspotting', 'Trainspotting', 'T2 Trainspotting']"
103,Independence Day,"['Independence Day', 'Independence Day: Resurgence', 'Independence Day: Resurgence', 'Independence Day: Resurgence', 'Independence Day: Resurgence']"
104,The Hunchback of Notre Dame,"['The Hunchback of Notre Dame', 'The Hunchback of Notre Dame II', 'The Hunchback of Notre Dame II', 'The Hunchback of Notre Dame II', 'Inauguration of the Pleasure Dome']"
105,The Nutty Professor,"['The Nutty Professor', 'Nutty Professor II: The Klumps', 'Nutty Professor II: The Klumps', 'The Absent-Minded Professor', 'The Fugitive']"
106,A Very Brady Sequel,"['The Brady Bunch Movie', 'Airplane II: The Sequel', 'A Very Harold & Kumar Christmas', 'A Very Harold & Kumar Christmas', 'Curious George: A Very Monkey Christmas']"
107,The Crow: City of Angels,"['The Crow', 'The Crow', 'The Crow', 'The Crow', 'The Crow']"
108,Bordello of Blood,"['Bordello of Blood', 'Bordello of Blood', 'Taste the Blood of Dracula', 'First Blood', 'The Blood of Fu Manchu']"
109,Escape from L.A.,"['Escape from L.A.', 'The Escape', 'Escape from New York', 'Escape from New York', 'Escape from New York']"
110,The Godfather,"['The Godfather', 'The Godfather: Part II', 'The Godfather: Part II', 'The Godfather: Part III', 'The Godfather: Part III']"
111,警察故事 III：超級警察,"['警察故事 III：超級警察', '警察故事', '警察故事', 'Superman III', 'Superman III']"
112,超级计划,"['Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II', 'Father of the Bride Part II', 'GoldenEye']"
113,The Land Before Time III: The Time of the Great Giving,"['The Land Before Time X: The Great Longneck Migration', 'The Land Before Time XII: The Great Day of the Flyers', 'The Land Before Time', 'The Land Before Time', 'The Land Before Time']"
114,Halloween: The Curse of Michael Myers,"['Halloween 4: The Return of Michael Myers', 'Halloween 5: The Revenge of Michael Myers', 'Halloween', 'Halloween', 'Halloween: H20']"
115,2001: A Space Odyssey,"['2001: A Space Odyssey', '2001: A Space Odyssey', '2001: A Space Odyssey', '2001 Maniacs', '2001 Maniacs']"
116,The Thin Man,"['After the Thin Man', 'Another Thin Man', 'Shadow of the Thin Man', 'Song of the Thin Man', 'The Thin Man Goes Home']"
117,Night of the Living Dead,"['Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Return of the Living Dead 3', 'The Return of the Living Dead']"
118,Huang jia shi jie,"['Tokugawa onna keibatsu-shi', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
119,D3: The Mighty Ducks,"['D2: The Mighty Ducks', 'The Mighty Ducks', 'Quest for the Mighty Sword', 'Mighty Morphin Power Rangers: The Movie', 'Mighty Morphin Power Rangers: The Movie']"
120,The Apple Dumpling Gang,"['The Apple Dumpling Gang Rides Again', 'Sheng gang qi bing', 'Xiang Gang you ge He Li Huo', 'Xiang Gang you ge He Li Huo', 'Xiang Gang you ge He Li Huo']"
121,"Davy Crockett, King of the Wild Frontier","['Davy Crockett and the River Pirates', 'The Wild Wild West Revisited', 'Star Trek V: The Final Frontier', 'The Return of the King', 'The Return of the King']"
122,Escape to Witch Mountain,"['Beyond Witch Mountain', 'Return from Witch Mountain', 'The Escape', 'The Swan Princess: Escape from Castle Mountain', 'Escape from L.A.']"
123,The Love Bug,"['The Love Bug', ""Love's Enduring Promise"", 'Tenchi Muyô! In Love 2: Haruka naru omoi', 'BOYS LOVE', 'Love Begins']"
124,Herbie Rides Again,"['Ernest Rides Again', 'Ernest Rides Again', 'The Apple Dumpling Gang Rides Again', 'Herbie Goes Bananas', 'Herbie Fully Loaded']"
125,The Parent Trap,"['The Parent Trap II', 'Parent Trap III', 'The Trap', 'To Trap a Spy', 'To Trap a Spy']"
126,Homeward Bound: The Incredible Journey,"['Homeward Bound: The Incredible Journey', 'Homeward Bound II: Lost in San Francisco', 'Homeward Bound II: Lost in San Francisco', 'The Death of the Incredible Hulk', 'The Incredible Hulk Returns']"
127,The Shaggy Dog,"['The Shaggy D.A.', 'The Dog Who Saved Christmas', 'The Dog Who Saved Christmas', 'The Dog Who Saved Christmas', 'The Dog Who Saved Christmas']"
128,Cinderella,"['Cinderella', 'Cinderella', 'Cinderella', 'Cinderella', 'Cinderella']"
129,The Three Caballeros,"['The Three Caballeros', 'The Three Caballeros', 'The Three Caballeros', 'The Three Caballeros', 'The Three Musketeers']"
130,The Fox and the Hound,"['The Fox and the Hound', 'The Fox and the Hound', 'The Fox and the Hound 2', 'The Fox and the Hound 2', 'The Fox and the Hound 2']"
131,Freeway,"['Freeway', 'Freeway', 'Freeway II: Confessions of a Trickbaby', 'Toy Story', 'Grumpier Old Men']"
132,Die Hard,"['Die Hard', 'Die Hard', 'Die Hard 2', 'Die Hard 2', 'Die Hard 2']"
133,The Lawnmower Man,"['The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man']"
