,titulo_original,duracion,año_realizacion
2750,The Odd Couple II,97.0,1998
2754,Species II,93.0,1998
2757,Major League: Back to the Minors,107.0,1998
2761,Henry Fool,137.0,1997
2765,Mulan,88.0,1998
2777,The X Files,121.0,1998
2789,Doctor Dolittle,85.0,1998
2798,Lethal Weapon 4,127.0,1998
2843,The French Connection,104.0,1971
2861,Rocky,119.0,1976
2862,A Nightmare on Elm Street Part 2: Freddy's Revenge,87.0,1985
2864,A Nightmare on Elm Street 3: Dream Warriors,96.0,1987
2868,A Nightmare on Elm Street 4: The Dream Master,99.0,1988
2870,A Nightmare on Elm Street 5: The Dream Child,89.0,1989
2872,Freddy's Dead: The Final Nightmare,89.0,1991
2875,Friday the 13th,95.0,1980
2878,Friday the 13th Part 2,87.0,1981
2882,Friday the 13th Part III,95.0,1982
2886,Friday the 13th: The Final Chapter,91.0,1984
2894,Friday the 13th: A New Beginning,92.0,1985
2898,Friday the 13th Part VI: Jason Lives,86.0,1986
2901,Friday the 13th Part VII: The New Blood,88.0,1988
2903,Friday the 13th Part VIII: Jason Takes Manhattan,100.0,1989
2909,Halloween,91.0,1978
2913,Halloween II,92.0,1981
2915,Halloween III: Season of the Witch,98.0,1982
2918,Halloween 4: The Return of Michael Myers,88.0,1988
2920,Halloween 5: The Revenge of Michael Myers,96.0,1989
2922,Prom Night,92.0,1980
2931,Hello Mary Lou: Prom Night II,97.0,1987
2936,Prom Night III: The Last Kiss,97.0,1990
2945,Prom Night IV: Deliver Us from Evil,92.0,1992
2946,Child's Play,87.0,1988
2948,Child's Play 2,84.0,1990
2952,Child's Play 3,90.0,1991
2964,Poltergeist,114.0,1982
2966,Poltergeist II: The Other Side,91.0,1986
2968,Poltergeist III,98.0,1988
2970,The Exorcist,122.0,1973
3006,Exorcist II: The Heretic,118.0,1977
3015,The Exorcist III,110.0,1990
3021,Lethal Weapon,110.0,1987
3031,Lethal Weapon 2,114.0,1989
3051,Lethal Weapon 3,118.0,1992
3061,Gremlins,106.0,1984
3073,Gremlins 2: The New Batch,106.0,1990
3079,The Mask of Zorro,136.0,1998
3083,Back to the Future Part II,108.0,1989
3095,Back to the Future Part III,118.0,1990
3107,The Poseidon Adventure,117.0,1972
3111,The Absent-Minded Professor,96.0,1961
3114,The Apple Dumpling Gang Rides Again,88.0,1979
3117,Bambi,70.0,1942
3120,The Godfather: Part III,162.0,1990
3144,The Computer Wore Tennis Shoes,91.0,1969
3146,D2: The Mighty Ducks,106.0,1994
3154,Herbie Goes Bananas,110.0,1980
3162,Herbie Goes To Monte Carlo,105.0,1977
3172,Honey I Blew Up the Kid,89.0,1992
3180,"Honey, I Shrunk the Kids",93.0,1989
3184,The Jungle Book,78.0,1967
3187,Lady and the Tramp,76.0,1955
3189,The Little Mermaid,83.0,1989
3197,The Mighty Ducks,101.0,1992
3199,The Muppet Christmas Carol,85.0,1992
3207,One Hundred and One Dalmatians,79.0,1961
3211,Peter Pan,77.0,1953
3221,The Rescuers Down Under,77.0,1990
3296,The Rescuers,78.0,1977
3300,Return from Witch Mountain,95.0,1978
3304,The Return of Jafar,69.0,1994
3308,The Shaggy D.A.,91.0,1976
3312,Son of Flubber,100.0,1963
3315,Splash,111.0,1984
3321,Tron,96.0,1982
3327,Halloween: H20,86.0,1998
3329,Indiana Jones and the Temple of Doom,118.0,1984
3337,The Lord of the Rings,132.0,1978
3345,Children of the Corn,93.0,1984
3417,All Dogs Go to Heaven,89.0,1989
3462,The Addams Family,99.0,1991
3471,Charlotte's Web,94.0,1973
3480,The Secret of NIMH,82.0,1982
3496,An American Tail,80.0,1986
3504,An American Tail: Fievel Goes West,75.0,1991
3513,House,93.0,1986
3515,House II: The Second Story,88.0,1987
3527,The Gods Must Be Crazy,109.0,1980
3543,The Gods Must Be Crazy II,98.0,1989
3567,Air Bud: Golden Receiver,90.0,1998
3571,"Henry II, Portrait of a Serial Killer",84.0,1996
3574,Henry: Portrait of a Serial Killer,83.0,1986
3578,Rosemary's Baby,136.0,1968
3584,The Neverending Story,102.0,1984
3632,The Neverending Story II: The Next Chapter,89.0,1990
3696,Attack of the Killer Tomatoes!,87.0,1978
3699,Blade,120.0,1998
3715,Cube,90.0,1997
3757,Rush Hour,98.0,1998
3761,Urban Legend,99.0,1998
3809,The Thing,109.0,1982
3821,2010,116.0,1984
3825,Bride of Chucky,89.0,1998
3833,Vampires,108.0,1998
3893,Elizabeth,124.0,1998
3905,I Still Know What You Did Last Summer,100.0,1998
3914,The Stepford Wives,117.0,1975
3920,The Rugrats Movie,79.0,1998
3926,ゴジラ,96.0,1954
3929,Godzilla 1985,87.0,1984
3959,Kingu Kongu tai Gojira,98.0,1962
3965,King Kong,100.0,1933
3969,King Kong,134.0,1976
3973,King Kong Lives,105.0,1986
3975,Fletch,98.0,1985
3978,Fletch Lives,95.0,1989
3984,Red Sonja,89.0,1985
4002,A View to a Kill,131.0,1985
4014,Police Academy,96.0,1984
4018,Police Academy 2: Their First Assignment,87.0,1985
4022,Police Academy 3: Back in Training,83.0,1986
4026,Police Academy 4: Citizens on Patrol,88.0,1987
4028,Police Academy 5: Assignment Miami Beach,90.0,1988
4030,Police Academy 6: City Under Siege,84.0,1989
4032,Babe: Pig in the City,92.0,1998
4037,Star Trek: Insurrection,103.0,1998
4041,Rambo: First Blood Part II,96.0,1985
4057,First Blood,93.0,1982
4061,Rambo III,102.0,1988
4077,The Jewel of the Nile,106.0,1985
4101,Romancing the Stone,106.0,1984
4197,Cocoon,117.0,1985
4206,Cocoon: The Return,116.0,1988
4212,Rocky II,119.0,1979
4213,Rocky III,99.0,1982
4214,Rocky IV,91.0,1985
4215,Rocky V,104.0,1990
4216,The Karate Kid,126.0,1984
4219,"The Karate Kid, Part II",113.0,1986
4229,"The Karate Kid, Part III",112.0,1989
4233,National Lampoon's Christmas Vacation,97.0,1989
4235,The Gate,85.0,1987
4247,The Gate II: Trespassers,93.0,1990
4253,The Fly,94.0,1958
4259,The Fly,96.0,1986
4271,The Fly II,105.0,1989
4283,The Texas Chain Saw Massacre,83.0,1974
4285,The Texas Chainsaw Massacre 2,101.0,1986
4286,Leatherface: Texas Chainsaw Massacre III,81.0,1990
4288,Texas Chainsaw Massacre: The Next Generation,95.0,1994
4291,Crocodile Dundee,97.0,1986
4295,Crocodile Dundee II,110.0,1988
4299,The Color of Money,119.0,1986
4303,8MM,123.0,1999
4312,Pet Sematary,103.0,1989
4314,Pet Sematary II,100.0,1992
4316,Children of the Corn II: The Final Sacrifice,92.0,1993
4319,Children of the Corn III: Urban Harvest,92.0,1995
4323,Airport,137.0,1970
4335,Airport 1975,107.0,1974
4343,Airport '77,114.0,1977
4351,Alligator,91.0,1980
4354,Westworld,88.0,1973
4361,Planet of the Apes,112.0,1968
4369,Beneath the Planet of the Apes,95.0,1970
4375,Battle for the Planet of the Apes,93.0,1973
4379,Conquest of the Planet of the Apes,88.0,1972
4383,Escape from the Planet of the Apes,98.0,1971
4387,The Concorde... Airport '79,123.0,1979
4396,Beyond the Poseidon Adventure,114.0,1979
4399,Analyze This,103.0,1999
4415,Cruel Intentions,97.0,1999
4442,The Rage: Carrie 2,104.0,1999
4448,The Matrix,136.0,1999
4464,The Mummy,124.0,1999
4476,黑侠,99.0,1996
4482,Star Wars: Episode I - The Phantom Menace,136.0,1999
4485,The Mummy,73.0,1932
4488,The Mummy,86.0,1959
4490,The Mummy's Curse,62.0,1944
4491,The Mummy's Ghost,61.0,1944
4492,The Mummy's Hand,67.0,1940
4493,The Mummy's Tomb,60.0,1942
4498,Superman,143.0,1978
4522,Superman II,127.0,1980
4546,Superman III,125.0,1983
4666,Superman IV: The Quest for Peace,90.0,1987
4786,Dracula,72.0,1931
4789,House of Dracula,67.0,1945
4791,House of Frankenstein,71.0,1944
4799,Frankenstein,71.0,1931
4802,Son of Frankenstein,99.0,1939
4804,The Ghost of Frankenstein,67.0,1942
4807,Frankenstein Meets the Wolf Man,74.0,1943
4810,The Curse of Frankenstein,82.0,1957
4812,Son of Dracula,80.0,1943
4814,The Wolf Man,70.0,1941
4816,Howling II: Stirba - Werewolf Bitch,91.0,1985
4824,The Rocky Horror Picture Show,100.0,1975
4840,Swamp Thing,91.0,1982
4842,Austin Powers: The Spy Who Shagged Me,95.0,1999
4858,Tarzan,88.0,1999
4862,American Pie,95.0,1999
4870,Conte d'automne,112.0,1998
4876,Muppets from Space,87.0,1999
4884,The Blair Witch Project,81.0,1999
4888,Lake Placid,82.0,1999
4903,Ghostbusters,107.0,1984
4909,Ghostbusters II,108.0,1989
4911,Inspector Gadget,78.0,1999
4959,Les Quatre Cents Coups,99.0,1959
4965,Allan Quatermain and the Lost City of Gold,99.0,1986
4968,Damien: Omen II,107.0,1978
4976,Omen III: The Final Conflict,108.0,1981
4982,Airplane!,88.0,1980
4983,Airplane II: The Sequel,85.0,1982
4984,National Lampoon’s European Vacation,95.0,1985
4987,National Lampoon's Vacation,98.0,1983
4990,Problem Child,81.0,1990
4994,Problem Child 2,90.0,1991
5000,A Christmas Story,94.0,1983
5008,Universal Soldier: The Return,82.0,1999
5012,Universal Soldier,102.0,1992
5032,Iron Eagle,117.0,1986
5044,Iron Eagle II,105.0,1988
5060,Iron Eagle III,98.0,1992
5068,Iron Eagle IV,96.0,1995
5070,"Die Spinnen, 1. Teil - Der Goldene See",69.0,1919
5072,Stir of Echoes,99.0,1999
5075,Fright Night,106.0,1985
5078,Fright Night Part 2,104.0,1988
5080,飛鷹計劃,106.0,1991
5084,龍兄虎弟,88.0,1986
5102,Phantasm,89.0,1979
5106,Psycho II,113.0,1983
5112,Psycho III,93.0,1986
5114,醉拳,111.0,1978
5116,The Dirty Dozen,150.0,1967
5206,Goldfinger,110.0,1964
5260,From Russia with Love,115.0,1963
5296,Dr. No,110.0,1962
5308,The Blue Lagoon,104.0,1980
5311,Per un pugno di dollari,99.0,1964
5335,Home Alone 2: Lost in New York,120.0,1992
5351,Penitentiary,99.0,1979
5353,Penitentiary II,108.0,1982
5355,The Omega Code,100.0,1999
5359,Bats,91.0,1999
5361,The Best Man,120.0,1999
5365,The Ipcress File,109.0,1965
5371,On Any Sunday,96.0,1971
5373,RoboCop,102.0,1987
5376,RoboCop 2,117.0,1990
5381,For Your Eyes Only,127.0,1981
5417,Licence to Kill,133.0,1989
5429,Live and Let Die,121.0,1973
5447,Thunderball,130.0,1965
5495,House on Haunted Hill,93.0,1999
5501,Bride of Re-Animator,96.0,1989
5504,Creepshow,120.0,1982
5522,Creepshow 2,92.0,1987
5524,Re-Animator,86.0,1985
5530,Piranha,94.0,1978
5531,Mister Roberts,123.0,1955
5535,Meatballs,92.0,1979
5537,Meatballs Part II,86.0,1984
5539,Meatballs III: Summer Job,96.0,1986
5541,Meatballs 4,84.0,1992
5542,劇場版ポケットモンスター ミュウツーの逆襲,75.0,1998
5564,The Commitments,118.0,1991
5672,Poison Ivy,93.0,1992
5673,Poison Ivy: The New Seduction,93.0,1997
5679,42 Up,139.0,1998
5681,The World Is Not Enough,128.0,1999
5705,Toy Story 2,92.0,1999
5708,The Two Jakes,138.0,1990
5711,Deuce Bigalow: Male Gigolo,88.0,1999
5714,The Last Picture Show,118.0,1971
5716,The 7th Voyage of Sinbad,88.0,1958
