,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
51455198,59115,Director,John Pogue,Quarantine Collection,RCR Media Group,United States of America,4000000.0,en,Quarantine 2: Terminal,2011-06-16,0.0,86.0,2011,0.0
51455199,59115,Director,John Pogue,Quarantine Collection,Andale Pictures,United States of America,4000000.0,en,Quarantine 2: Terminal,2011-06-16,0.0,86.0,2011,0.0
51455200,59115,Director,John Pogue,Quarantine Collection,Third Street Pictures,United States of America,4000000.0,en,Quarantine 2: Terminal,2011-06-16,0.0,86.0,2011,0.0
51456494,58897,Director,Metin Erksan,"Martin Scorsese’s World Cinema Project, Vol. 1",Hitit,Turkey,0.0,tr,Susuz Yaz,1963-12-16,0.0,90.0,1963,0.0
51456503,59566,Director,Norman Foster,Mr. Moto Collection,Twentieth Century Fox Film Corporation,United States of America,0.0,en,"Think Fast, Mr. Moto",1937-07-27,0.0,67.0,1937,0.0
51456663,54540,Director,Alex Zamm,Beverly Hills Chihuahua Collection,Walt Disney Pictures,United States of America,0.0,en,Beverly Hills Chihuahua 2,2011-02-01,12000000.0,93.0,2011,inf
51456672,28039,Director,Chang Cheh,The One-Armed Swordsman Collection,Shaw Brothers,Hong Kong,0.0,zh,Xin du bi dao,1971-02-07,0.0,102.0,1971,0.0
51456784,13931,Director,Pete Docter,"Monsters, Inc. Collection",Walt Disney Pictures,United States of America,0.0,en,Mike's New Car,2002-05-24,0.0,4.0,2002,0.0
51456785,13931,Director,Pete Docter,"Monsters, Inc. Collection",Pixar Animation Studios,United States of America,0.0,en,Mike's New Car,2002-05-24,0.0,4.0,2002,0.0
51456788,13931,Director,Roger Gould,"Monsters, Inc. Collection",Walt Disney Pictures,United States of America,0.0,en,Mike's New Car,2002-05-24,0.0,4.0,2002,0.0
51456789,13931,Director,Roger Gould,"Monsters, Inc. Collection",Pixar Animation Studios,United States of America,0.0,en,Mike's New Car,2002-05-24,0.0,4.0,2002,0.0
51456848,41513,Director,Raja Gosnell,The Smurfs (Theatrical) Collection,Columbia Pictures,United States of America,110000000.0,en,The Smurfs,2011-07-29,563749323.0,103.0,2011,5.124993845454545
51456849,41513,Director,Raja Gosnell,The Smurfs (Theatrical) Collection,Sony Pictures Animation,United States of America,110000000.0,en,The Smurfs,2011-07-29,563749323.0,103.0,2011,5.124993845454545
51456850,41513,Director,Raja Gosnell,The Smurfs (Theatrical) Collection,Kerner Entertainment Company,United States of America,110000000.0,en,The Smurfs,2011-07-29,563749323.0,103.0,2011,5.124993845454545
51463373,67636,Director,Simon Wincer,Lonesome Dove Collection,,,0.0,en,Comanche Moon,2008-01-13,0.0,360.0,2008,0.0
51463377,12819,Director,Ben Gluck,Alpha and Omega Collection,Lions Gate Family Entertainment,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463378,12819,Director,Ben Gluck,Alpha and Omega Collection,Lions Gate Family Entertainment,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463379,12819,Director,Ben Gluck,Alpha and Omega Collection,Relativity Media,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
