,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
27513680,9290,Director,Simon Wincer,Crocodile Dundee Collection,Silver Lion Films,Australia,21150000.0,en,Crocodile Dundee in Los Angeles,2001-04-12,39438674.0,92.0,2001,1.864712718676123
27513681,9290,Director,Simon Wincer,Crocodile Dundee Collection,Silver Lion Films,United States of America,21150000.0,en,Crocodile Dundee in Los Angeles,2001-04-12,39438674.0,92.0,2001,1.864712718676123
27513682,9290,Director,Simon Wincer,Crocodile Dundee Collection,Vision View Entertainment,Australia,21150000.0,en,Crocodile Dundee in Los Angeles,2001-04-12,39438674.0,92.0,2001,1.864712718676123
27513683,9290,Director,Simon Wincer,Crocodile Dundee Collection,Vision View Entertainment,United States of America,21150000.0,en,Crocodile Dundee in Los Angeles,2001-04-12,39438674.0,92.0,2001,1.864712718676123
27516414,1734,Director,Stephen Sommers,The Mummy Collection,Universal Pictures,United States of America,98000000.0,en,The Mummy Returns,2001-04-28,433013274.0,130.0,2001,4.418502795918367
27516415,1734,Director,Stephen Sommers,The Mummy Collection,Alphaville Films,United States of America,98000000.0,en,The Mummy Returns,2001-04-28,433013274.0,130.0,2001,4.418502795918367
27516416,1734,Director,Stephen Sommers,The Mummy Collection,Imhotep Productions,United States of America,98000000.0,en,The Mummy Returns,2001-04-28,433013274.0,130.0,2001,4.418502795918367
27517953,808,Director,Andrew Adamson,Shrek Collection,DreamWorks SKG,United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27517954,808,Director,Andrew Adamson,Shrek Collection,Pacific Data Images (PDI),United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27517955,808,Director,Andrew Adamson,Shrek Collection,DreamWorks Animation,United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27517968,808,Director,Vicky Jenson,Shrek Collection,DreamWorks SKG,United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27517969,808,Director,Vicky Jenson,Shrek Collection,Pacific Data Images (PDI),United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27517970,808,Director,Vicky Jenson,Shrek Collection,DreamWorks Animation,United States of America,60000000.0,en,Shrek,2001-05-16,484409218.0,90.0,2001,8.073486966666668
27531003,1406,Director,Ron Underwood,City Slickers Collection,Columbia Pictures,United States of America,27000000.0,en,City Slickers,1991-06-07,179033791.0,112.0,1991,6.630881148148148
27531004,1406,Director,Ron Underwood,City Slickers Collection,New Line Cinema,United States of America,27000000.0,en,City Slickers,1991-06-07,179033791.0,112.0,1991,6.630881148148148
27531005,1406,Director,Ron Underwood,City Slickers Collection,Castle Rock Entertainment,United States of America,27000000.0,en,City Slickers,1991-06-07,179033791.0,112.0,1991,6.630881148148148
27535953,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Silver Films,Italy,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27535954,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Silver Films,France,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27535955,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Nepi Film,Italy,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27535956,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Nepi Film,France,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27535957,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Sofitedip,Italy,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27535958,41050,Director,Michelangelo Antonioni,Alienation Trilogy,Sofitedip,France,0.0,it,La notte,1961-01-23,0.0,115.0,1961,0.0
27536457,966,Director,John Sturges,The Magnificent Seven Collection,The Mirisch Corporation,United States of America,2000000.0,en,The Magnificent Seven,1960-10-22,4905000.0,128.0,1960,2.4525
27536458,966,Director,John Sturges,The Magnificent Seven Collection,Alpha Productions,United States of America,2000000.0,en,The Magnificent Seven,1960-10-22,4905000.0,128.0,1960,2.4525
27536577,12639,Director,Burt Kennedy,The Magnificent Seven Collection,C.B. Films S.A.,Spain,0.0,en,Return of the Seven,1966-10-19,0.0,95.0,1966,0.0
27536578,12639,Director,Burt Kennedy,The Magnificent Seven Collection,C.B. Films S.A.,United States of America,0.0,en,Return of the Seven,1966-10-19,0.0,95.0,1966,0.0
27536579,12639,Director,Burt Kennedy,The Magnificent Seven Collection,The Mirisch Production Company,Spain,0.0,en,Return of the Seven,1966-10-19,0.0,95.0,1966,0.0
27536580,12639,Director,Burt Kennedy,The Magnificent Seven Collection,The Mirisch Production Company,United States of America,0.0,en,Return of the Seven,1966-10-19,0.0,95.0,1966,0.0
27536769,10865,Director,Gary Trousdale,Atlantis Collection,Walt Disney Pictures,United States of America,120000000.0,en,Atlantis: The Lost Empire,2001-06-02,186053725.0,95.0,2001,1.5504477083333332
27536770,10865,Director,Gary Trousdale,Atlantis Collection,Walt Disney Feature Animation,United States of America,120000000.0,en,Atlantis: The Lost Empire,2001-06-02,186053725.0,95.0,2001,1.5504477083333332
27536777,10865,Director,Kirk Wise,Atlantis Collection,Walt Disney Pictures,United States of America,120000000.0,en,Atlantis: The Lost Empire,2001-06-02,186053725.0,95.0,2001,1.5504477083333332
27536778,10865,Director,Kirk Wise,Atlantis Collection,Walt Disney Feature Animation,United States of America,120000000.0,en,Atlantis: The Lost Empire,2001-06-02,186053725.0,95.0,2001,1.5504477083333332
27538689,1995,Director,Simon West,Tomb Raider Collection,Paramount Pictures,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538690,1995,Director,Simon West,Tomb Raider Collection,Toho-Towa,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538691,1995,Director,Simon West,Tomb Raider Collection,Mutual Film Company,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538692,1995,Director,Simon West,Tomb Raider Collection,Lawrence Gordon Productions,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538693,1995,Director,Simon West,Tomb Raider Collection,British Broadcasting Corporation (BBC),United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538694,1995,Director,Simon West,Tomb Raider Collection,Marubeni,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27538695,1995,Director,Simon West,Tomb Raider Collection,Eidos Interactive,United States of America,115000000.0,en,Lara Croft: Tomb Raider,2001-06-11,274703340.0,100.0,2001,2.388724695652174
27556721,10808,Director,Steve Carr,Dr. Dolittle Collection,Twentieth Century Fox Film Corporation,United States of America,70000000.0,en,Dr. Dolittle 2,2001-06-22,176104344.0,87.0,2001,2.515776342857143
27556722,10808,Director,Steve Carr,Dr. Dolittle Collection,Joseph M. Singer Entertainment,United States of America,70000000.0,en,Dr. Dolittle 2,2001-06-22,176104344.0,87.0,2001,2.515776342857143
27556723,10808,Director,Steve Carr,Dr. Dolittle Collection,Davis Entertainment,United States of America,70000000.0,en,Dr. Dolittle 2,2001-06-22,176104344.0,87.0,2001,2.515776342857143
27563633,9799,Director,Rob Cohen,The Fast and the Furious Collection,Universal Pictures,Germany,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563634,9799,Director,Rob Cohen,The Fast and the Furious Collection,Universal Pictures,United States of America,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563635,9799,Director,Rob Cohen,The Fast and the Furious Collection,Original Film,Germany,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563636,9799,Director,Rob Cohen,The Fast and the Furious Collection,Original Film,United States of America,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563637,9799,Director,Rob Cohen,The Fast and the Furious Collection,Ardustry Entertainment,Germany,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563638,9799,Director,Rob Cohen,The Fast and the Furious Collection,Ardustry Entertainment,United States of America,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563639,9799,Director,Rob Cohen,The Fast and the Furious Collection,Mediastream Film GmbH & Co. Productions KG,Germany,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27563640,9799,Director,Rob Cohen,The Fast and the Furious Collection,Mediastream Film GmbH & Co. Productions KG,United States of America,38000000.0,en,The Fast and the Furious,2001-06-22,207283925.0,106.0,2001,5.454840131578948
27580913,60670,Director,Mathieu Kassovitz,The Crimson Rivers Collection,Gaumont International,France,2365000.0,fr,Les Rivières pourpres,2000-09-26,0.0,106.0,2000,0.0
27581093,10992,Director,Lawrence Guterman,Cats & Dogs Collection,Village Roadshow Pictures,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27581094,10992,Director,Lawrence Guterman,Cats & Dogs Collection,NPV Entertainment,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27581095,10992,Director,Lawrence Guterman,Cats & Dogs Collection,Mad Chance,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27581096,10992,Director,Lawrence Guterman,Cats & Dogs Collection,Zide-Perry Productions,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27581097,10992,Director,Lawrence Guterman,Cats & Dogs Collection,Warner Bros.,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27581098,10992,Director,Lawrence Guterman,Cats & Dogs Collection,BenderSpink,United States of America,60000000.0,en,Cats & Dogs,2001-07-04,93375151.0,87.0,2001,1.5562525166666668
27582245,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Gold/Miller Productions,Canada,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582246,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Gold/Miller Productions,United States of America,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582247,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Wayans Bros. Entertainment,Canada,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582248,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Wayans Bros. Entertainment,United States of America,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582249,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Dimension Films,Canada,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582250,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Dimension Films,United States of America,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582251,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Brad Grey Pictures,Canada,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27582252,4248,Director,Keenen Ivory Wayans,Scary Movie Collection,Brad Grey Pictures,United States of America,45000000.0,en,Scary Movie 2,2001-07-04,141220678.0,83.0,2001,3.138237288888889
27583269,26483,Director,William Asher,Beach Party Collection,alta vista productions,United States of America,0.0,en,Beach Blanket Bingo,1965-04-14,0.0,98.0,1965,0.0
27583270,26483,Director,William Asher,Beach Party Collection,American International Pictures (AIP),United States of America,0.0,en,Beach Blanket Bingo,1965-04-14,0.0,98.0,1965,0.0
27583325,24382,Director,Mario Monicelli,Totò Collection,Lux Vide,Italy,0.0,it,I soliti ignoti,1958-06-06,0.0,106.0,1958,0.0
27583369,11286,Director,Hal Needham,Cannonball Run Collection,Eurasia Investments,United States of America,18000000.0,en,The Cannonball Run,1981-06-19,72179579.0,95.0,1981,4.009976611111111
27583402,11950,Director,Hal Needham,Cannonball Run Collection,Golden Harvest Company,United States of America,0.0,en,Cannonball Run II,1984-06-29,28078073.0,108.0,1984,inf
27583403,11950,Director,Hal Needham,Cannonball Run Collection,Warner Bros.,United States of America,0.0,en,Cannonball Run II,1984-06-29,28078073.0,108.0,1984,inf
27583786,12236,Director,Jim Drake,Cannonball Run Collection,Entcorp Communications,United States of America,0.0,en,Speed Zone,1989-04-21,3077361.0,94.0,1989,inf
27583822,26573,Director,Norman Taurog,Dr Goldfoot Collection,American International Pictures (AIP),United States of America,0.0,en,Dr. Goldfoot and the Bikini Machine,1965-11-06,0.0,88.0,1965,0.0
27583906,20075,Director,Tommy Chong,Cheech & Chong Collection,Columbia Pictures,United States of America,0.0,en,Nice Dreams,1981-07-24,0.0,88.0,1981,0.0
27583907,20075,Director,Tommy Chong,Cheech & Chong Collection,C & C Brown Production,United States of America,0.0,en,Nice Dreams,1981-07-24,0.0,88.0,1981,0.0
27583966,20197,Director,Thomas K. Avildsen,Cheech & Chong Collection,C & C Brown Production,United States of America,0.0,en,Things Are Tough All Over,1982-08-04,21134374.0,90.0,1982,inf
27584106,11906,Director,Dario Argento,The Three Mothers Collection,Seda Spettacoli,Italy,0.0,it,Suspiria,1977-02-01,0.0,98.0,1977,0.0
27584122,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Columbia Pictures,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584123,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Columbia Pictures,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584124,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Square USA,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584125,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Square USA,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584126,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Chris Lee Productions,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584127,2114,Director,Hironobu Sakaguchi,Final Fantasy Collection,Chris Lee Productions,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584158,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Columbia Pictures,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584159,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Columbia Pictures,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584160,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Square USA,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584161,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Square USA,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584162,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Chris Lee Productions,Japan,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27584163,2114,Director,Motonori Sakakibara,Final Fantasy Collection,Chris Lee Productions,United States of America,137000000.0,en,Final Fantasy: The Spirits Within,2001-07-02,85131830.0,106.0,2001,0.6214002189781022
27607450,8835,Director,Robert Luketic,Legally Blonde Collection,Marc Platt Productions,United States of America,18000000.0,en,Legally Blonde,2001-07-13,141774679.0,96.0,2001,7.8763710555555555
27607451,8835,Director,Robert Luketic,Legally Blonde Collection,Metro-Goldwyn-Mayer (MGM),United States of America,18000000.0,en,Legally Blonde,2001-07-13,141774679.0,96.0,2001,7.8763710555555555
27607534,26044,Director,Bud Yorkin,Arthur Collection,Warner Bros.,United States of America,0.0,en,Arthur 2: On the Rocks,1988-07-08,14681192.0,113.0,1988,inf
27607586,30502,Director,Randal Kleiser,Pee-wee's Collection,Paramount Pictures,United States of America,0.0,en,Big Top Pee-wee,1988-07-22,15122000.0,86.0,1988,inf
27607670,18509,Director,Allan Arkush,Caddyshack Collection,The Guber-Peters Company,United States of America,0.0,en,Caddyshack II,1988-07-22,0.0,98.0,1988,0.0
27607671,18509,Director,Allan Arkush,Caddyshack Collection,Warner Bros.,United States of America,0.0,en,Caddyshack II,1988-07-22,0.0,98.0,1988,0.0
27607730,3980,Director,Stephen Herek,Critters Collection,New Line Cinema,United States of America,2000000.0,en,Critters,1986-04-11,13167232.0,82.0,1986,6.583616
27607731,3980,Director,Stephen Herek,Critters Collection,Smart Egg Pictures,United States of America,2000000.0,en,Critters,1986-04-11,13167232.0,82.0,1986,6.583616
27607732,3980,Director,Stephen Herek,Critters Collection,Sho Films,United States of America,2000000.0,en,Critters,1986-04-11,13167232.0,82.0,1986,6.583616
27610655,10127,Director,Mick Garris,Critters Collection,New Line Cinema,United States of America,4500000.0,en,Critters 2,1988-04-29,3813293.0,86.0,1988,0.8473984444444445
27610656,10127,Director,Mick Garris,Critters Collection,Sho Films,United States of America,4500000.0,en,Critters 2,1988-04-29,3813293.0,86.0,1988,0.8473984444444445
27611615,12702,Director,Kristine Peterson,Critters Collection,New Line Cinema,United States of America,0.0,en,Critters 3,1991-12-11,0.0,86.0,1991,0.0
27611616,12702,Director,Kristine Peterson,Critters Collection,OH Films,United States of America,0.0,en,Critters 3,1991-12-11,0.0,86.0,1991,0.0
27612575,10651,Director,Buddy Van Horn,Dirty Harry Collection,Malpaso Productions,United States of America,20000000.0,en,The Dead Pool,1988-07-12,0.0,91.0,1988,0.0
27612576,10651,Director,Buddy Van Horn,Dirty Harry Collection,Warner Bros.,United States of America,20000000.0,en,The Dead Pool,1988-07-12,0.0,91.0,1988,0.0
27613151,5680,Director,James Signorelli,Elvira Collection,New World Pictures,United States of America,0.0,en,"Elvira, Mistress of the Dark",1988-09-30,5596267.0,96.0,1988,inf
27613152,5680,Director,James Signorelli,Elvira Collection,NBC Productions,United States of America,0.0,en,"Elvira, Mistress of the Dark",1988-09-30,5596267.0,96.0,1988,inf
27613855,26386,Director,John R. Cherry III,Ernest Collection,Touchstone Pictures,United States of America,6000000.0,en,Ernest Saves Christmas,1988-11-11,28202109.0,95.0,1988,4.7003515
27613883,38500,Director,John Hough,The Howling Collection,Allied Entertainments Group PLC,United Kingdom,0.0,en,Howling IV: The Original Nightmare,1988-11-01,0.0,94.0,1988,0.0
27613888,12144,Director,Don Bluth,The Land Before Time Collection,Lucasfilm,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613889,12144,Director,Don Bluth,The Land Before Time Collection,Lucasfilm,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613890,12144,Director,Don Bluth,The Land Before Time Collection,Universal Pictures,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613891,12144,Director,Don Bluth,The Land Before Time Collection,Universal Pictures,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613892,12144,Director,Don Bluth,The Land Before Time Collection,Amblin Entertainment,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613893,12144,Director,Don Bluth,The Land Before Time Collection,Amblin Entertainment,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613894,12144,Director,Don Bluth,The Land Before Time Collection,Sullivan Bluth Studios,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613895,12144,Director,Don Bluth,The Land Before Time Collection,Sullivan Bluth Studios,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613896,12144,Director,Don Bluth,The Land Before Time Collection,U-Drive Productions,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613897,12144,Director,Don Bluth,The Land Before Time Collection,U-Drive Productions,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613898,12144,Director,Don Bluth,The Land Before Time Collection,Universal City Studios,Ireland,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27613899,12144,Director,Don Bluth,The Land Before Time Collection,Universal City Studios,United States of America,12300000.0,en,The Land Before Time,1988-11-18,84460846.0,69.0,1988,6.866735447154472
27624256,24929,Director,Ken Wiederhorn,Return of the Living Dead Collection,Greenfox,United States of America,6200000.0,en,Return of the Living Dead Part II,1988-01-15,9205924.0,89.0,1988,1.4848264516129033
27624324,10925,Director,Dan O'Bannon,Return of the Living Dead Collection,Hemdale Film Corporation,United States of America,4000000.0,en,The Return of the Living Dead,1985-05-15,14237000.0,91.0,1985,3.55925
27624325,10925,Director,Dan O'Bannon,Return of the Living Dead Collection,Fox Films Ltd.,United States of America,4000000.0,en,The Return of the Living Dead,1985-05-15,14237000.0,91.0,1985,3.55925
27624326,10925,Director,Dan O'Bannon,Return of the Living Dead Collection,Cinema 84,United States of America,4000000.0,en,The Return of the Living Dead,1985-05-15,14237000.0,91.0,1985,3.55925
27624864,13965,Director,Geoff Burrowes,The Man From Snowy River Collection,Walt Disney Pictures,Australia,0.0,en,Return to Snowy River,1988-03-24,0.0,110.0,1988,0.0
27624865,13965,Director,Geoff Burrowes,The Man From Snowy River Collection,Burrowes Film Group,Australia,0.0,en,Return to Snowy River,1988-03-24,0.0,110.0,1988,0.0
27624866,13965,Director,Geoff Burrowes,The Man From Snowy River Collection,Hoyts Film Partnership,Australia,0.0,en,Return to Snowy River,1988-03-24,0.0,110.0,1988,0.0
27628239,24266,Director,George T. Miller,The Man From Snowy River Collection,Twentieth Century Fox Film Corporation,Australia,3500000.0,en,The Man from Snowy River,1982-03-02,20659423.0,104.0,1982,5.902692285714286
27628240,24266,Director,George T. Miller,The Man From Snowy River Collection,Cambridge Productions,Australia,3500000.0,en,The Man from Snowy River,1982-03-02,20659423.0,104.0,1982,5.902692285714286
27629739,11966,Director,Kenneth Johnson,Short Circuit Collection,David Foster Productions,United States of America,0.0,en,Short Circuit 2,1988-07-06,21630088.0,110.0,1988,inf
27629740,11966,Director,Kenneth Johnson,Short Circuit Collection,TriStar Pictures,United States of America,0.0,en,Short Circuit 2,1988-07-06,21630088.0,110.0,1988,inf
27630315,2605,Director,John Badham,Short Circuit Collection,PSO International,United States of America,0.0,en,Short Circuit,1986-05-09,40697761.0,98.0,1986,inf
27630316,2605,Director,John Badham,Short Circuit Collection,David Foster Productions,United States of America,0.0,en,Short Circuit,1986-05-09,40697761.0,98.0,1986,inf
27630317,2605,Director,John Badham,Short Circuit Collection,TriStar Pictures,United States of America,0.0,en,Short Circuit,1986-05-09,40697761.0,98.0,1986,inf
27632502,41428,Director,Shinya Tsukamoto,Tetsuo Collection,,Japan,0.0,ja,鉄男,1989-07-01,0.0,67.0,1989,0.0
27632526,29095,Director,Anthony Hickox,The Waxwork Collection,Vestron Pictures,United States of America,0.0,en,Waxwork,1988-06-17,808114.0,95.0,1988,inf
27632527,29095,Director,Anthony Hickox,The Waxwork Collection,Contemporary Films,United States of America,0.0,en,Waxwork,1988-06-17,808114.0,95.0,1988,inf
27632528,29095,Director,Anthony Hickox,The Waxwork Collection,Palla,United States of America,0.0,en,Waxwork,1988-06-17,808114.0,95.0,1988,inf
27632529,29095,Director,Anthony Hickox,The Waxwork Collection,HB Filmrullen,United States of America,0.0,en,Waxwork,1988-06-17,808114.0,95.0,1988,inf
27634318,12500,Director,Sam Firstenberg,American Ninja Collection,Cannon Group,United States of America,1000000.0,en,American Ninja,1985-08-30,10499694.0,95.0,1985,10.499694
27634319,12500,Director,Sam Firstenberg,American Ninja Collection,Golan-Globus,United States of America,1000000.0,en,American Ninja,1985-08-30,10499694.0,95.0,1985,10.499694
27634494,25678,Director,Sam Firstenberg,American Ninja Collection,Cannon Group,United States of America,0.0,en,American Ninja 2: The Confrontation,1987-05-01,0.0,90.0,1987,0.0
27634495,25678,Director,Sam Firstenberg,American Ninja Collection,Golan-Globus,United States of America,0.0,en,American Ninja 2: The Confrontation,1987-05-01,0.0,90.0,1987,0.0
27635034,25682,Director,Cedric Sundstrom,American Ninja Collection,Cannon Group,United States of America,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27635035,25682,Director,Cedric Sundstrom,American Ninja Collection,Cannon Group,Canada,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27635036,25682,Director,Cedric Sundstrom,American Ninja Collection,Cannon Group,South Africa,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27635037,25682,Director,Cedric Sundstrom,American Ninja Collection,Breton Film Productions,United States of America,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27635038,25682,Director,Cedric Sundstrom,American Ninja Collection,Breton Film Productions,Canada,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27635039,25682,Director,Cedric Sundstrom,American Ninja Collection,Breton Film Productions,South Africa,0.0,fr,American Ninja 3: Blood Hunt,1989-02-24,0.0,89.0,1989,0.0
27639570,32049,Director,Robert Radler,Best of the Best Collection,The Movie Group,United States of America,0.0,en,Best of the Best 2,1993-01-01,6500000.0,101.0,1993,inf
27639571,32049,Director,Robert Radler,Best of the Best Collection,Picture Securities,United States of America,0.0,en,Best of the Best 2,1993-01-01,6500000.0,101.0,1993,inf
27640466,1648,Director,Stephen Herek,Bill & Ted's Most Excellent Collection,Orion Pictures,United States of America,10000000.0,en,Bill & Ted's Excellent Adventure,1989-02-17,40485039.0,90.0,1989,4.0485039
27640664,53150,Director,David Irving,C.H.U.D. Collection,Management Company Entertainment Group (MCEG),United States of America,0.0,en,C.H.U.D. II: Bud the Chud,1989-05-05,0.0,85.0,1989,0.0
27640665,53150,Director,David Irving,C.H.U.D. Collection,Vestron Pictures,United States of America,0.0,en,C.H.U.D. II: Bud the Chud,1989-05-05,0.0,85.0,1989,0.0
27641384,10134,Director,Albert Pyun,Cyborg Collection,Cannon Group,United States of America,500000.0,en,Cyborg,1989-04-07,10166459.0,86.0,1989,20.332918
27641385,10134,Director,Albert Pyun,Cyborg Collection,Golan-Globus,United States of America,500000.0,en,Cyborg,1989-04-07,10166459.0,86.0,1989,20.332918
27641640,15142,Director,Marc Rocco,Dream a Little Dream Collection,Lightning Pictures,United States of America,0.0,en,Dream a Little Dream,1989-03-03,0.0,114.0,1989,0.0
27641641,15142,Director,Marc Rocco,Dream a Little Dream Collection,Vestron Pictures,United States of America,0.0,en,Dream a Little Dream,1989-03-03,0.0,114.0,1989,0.0
27642472,25005,Director,Jean-Claude Lord,Eddie and the Cruisers Collection,,Canada,0.0,en,Eddie and the Cruisers II: Eddie Lives!,1989-01-01,0.0,104.0,1989,0.0
27642473,25005,Director,Jean-Claude Lord,Eddie and the Cruisers Collection,,United States of America,0.0,en,Eddie and the Cruisers II: Eddie Lives!,1989-01-01,0.0,104.0,1989,0.0
